text,label,language,priority
Main Market में नागरिक सेवा केंद्र बंद है,Public Services,Hindi,Medium
Bad smell from drainage in Station Road,Sanitation,English,Low
Industrial Area में पानी की सप्लाई नहीं है,Water,Hindi,Medium
Green Park के पास पाइपलाइन फट गई,Water,Hindi,High
Road construction incomplete in Shivaji Colony,Roads,English,Medium
No drinking water in Shivaji Colony,Water,English,Medium
Station Road के पास पाइपलाइन फट गई,Water,Hindi,High
Subhash Chowk में पानी का प्रेशर कम है,Water,Hindi,Low
Waterlogging on roads in Sector 5,Roads,English,Medium
Potholes on road near Station Road,Roads,English,Medium
School facility complaint in Main Market,Public Services,English,Low
Green Park में सड़क में दरारें हैं,Roads,Hindi,Medium
Transformer exploded near Rajendra Nagar,Electricity,English,High
Low voltage issue in Village Area,Electricity,English,Medium
Sector 5 के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Sector 5 में गंदा पानी आ रहा है,Water,Hindi,Low
Government office not responding in Subhash Chowk,Public Services,English,Medium
Subhash Chowk में सड़क पर पानी भर गया है,Roads,Hindi,Medium
Green Park में नाली से बदबू आ रही है,Sanitation,Hindi,Low
Waste dumping issue in Sector 5,Sanitation,English,Low
Sector 5 में लो वोल्टेज की समस्या है,Electricity,Hindi,Medium
Road is damaged in Ward 12,Roads,English,Medium
Electric wires are hanging dangerously in Station Road,Electricity,English,High
Village Area में पानी दूषित है,Water,Hindi,Low
Sector 5 में कचरा नहीं उठाया गया,Sanitation,Hindi,Low
Power cut since morning in Civil Lines,Electricity,English,Medium
Nehru Nagar में खराब सड़क के कारण ट्रैफिक समस्या है,Roads,Hindi,Medium
School facility complaint in Ward 12,Public Services,English,Medium
Main Market में बिजली नहीं है,Electricity,Hindi,Medium
Garbage has not been collected in MG Road,Sanitation,English,Medium
Industrial Area में सार्वजनिक शौचालय गंदा है,Public Services,Hindi,Medium
Green Park की सड़कें गंदी हैं,Sanitation,Hindi,Low
Street lights not functioning in Industrial Area,Public Services,English,Medium
Station Road के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Electric wires are hanging dangerously in Industrial Area,Electricity,English,High
Road is damaged in Main Market,Roads,English,Low
Village Area में नाली जाम है,Sanitation,Hindi,Low
Power outage for several hours in Station Road,Electricity,English,Low
Civil Lines में पानी का प्रेशर कम है,Water,Hindi,Low
Sector 5 के पास सड़क में गड्ढे हैं,Roads,Hindi,Medium
Main Market में कचरा नहीं उठाया गया,Sanitation,Hindi,Low
Village Area में कचरा नहीं उठाया गया,Sanitation,Hindi,Medium
Old City में मच्छरों की समस्या बढ़ रही है,Sanitation,Hindi,Medium
Shivaji Colony में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Low
Electric wires are hanging dangerously in Station Road,Electricity,English,High
Village Area में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Low
Dirty water coming in taps at Old City,Water,English,Medium
Broken water pipe in Old City,Water,English,Medium
Overflowing garbage bins in Subhash Chowk,Sanitation,English,High
Main Market में सार्वजनिक शौचालय गंदा है,Public Services,Hindi,Low
Subhash Chowk में बिजली का खंभा टूट गया है,Electricity,Hindi,Low
Garbage has not been collected in Station Road,Sanitation,English,Low
Public sanitation issue in Subhash Chowk,Sanitation,English,Low
Garbage has not been collected in Nehru Nagar,Sanitation,English,Low
Nehru Nagar में वोल्टेज की समस्या है,Electricity,Hindi,Medium
Water supply is not available in Station Road,Water,English,Low
Public safety concern in Industrial Area,Public Services,English,Medium
Village Area में नाली से बदबू आ रही है,Sanitation,Hindi,Medium
Water supply is not available in Old City,Water,English,Low
Public sanitation issue in Nehru Nagar,Sanitation,English,Medium
MG Road में बिजली के तार खतरनाक स्थिति में हैं,Electricity,Hindi,High
City Center की सड़कें गंदी हैं,Sanitation,Hindi,Low
Sector 5 में कई घंटों से बिजली नहीं है,Electricity,Hindi,Medium
Power cut since morning in City Center,Electricity,English,Medium
Road repair needed in Civil Lines,Roads,English,Low
Rajendra Nagar में कचरा नहीं उठाया गया,Sanitation,Hindi,Medium
Transformer exploded near Old City,Electricity,English,High
Hospital service issue in Subhash Chowk,Public Services,English,Low
Nehru Nagar में पानी की पाइप टूट गई है,Water,Hindi,Low
Public safety concern in Rajendra Nagar,Public Services,English,Medium
Drain blockage reported in Industrial Area,Sanitation,English,Medium
Village Area के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Main Market में बिजली के तार खतरनाक स्थिति में हैं,Electricity,Hindi,High
Public sanitation issue in Shivaji Colony,Sanitation,English,Medium
Water leakage from pipeline in Shivaji Colony,Water,English,Low
Nehru Nagar में खराब सड़क के कारण ट्रैफिक समस्या है,Roads,Hindi,Low
Waterlogging on roads in Village Area,Roads,English,Medium
Old City में अस्पताल सेवा की समस्या है,Public Services,Hindi,Low
Uneven road surface in Industrial Area,Roads,English,Low
Nehru Nagar में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Medium
Road construction incomplete in Ward 12,Roads,English,Low
Road construction incomplete in Sector 5,Roads,English,Medium
Sewage overflow in Main Market,Sanitation,English,High
Pipeline burst near MG Road,Water,English,High
Industrial Area में सड़क खराब है,Roads,Hindi,Medium
Nehru Nagar में सड़क में दरारें हैं,Roads,Hindi,Medium
Traffic issue due to bad roads in MG Road,Roads,English,Medium
Nehru Nagar में कचरा नहीं उठाया गया,Sanitation,Hindi,Medium
Low voltage issue in Civil Lines,Electricity,English,Low
Rajendra Nagar में स्ट्रीट लाइट काम नहीं कर रही,Public Services,Hindi,Medium
Water shortage reported in Civil Lines,Water,English,Low
Main Market में कई घंटों से बिजली नहीं है,Electricity,Hindi,Low
Broken water pipe in Main Market,Water,English,Low
Bridge damaged near Rajendra Nagar,Roads,English,Medium
Industrial Area में सड़क पर पानी भर गया है,Roads,Hindi,Medium
Road repair needed in Civil Lines,Roads,English,Low
Nehru Nagar में शॉर्ट सर्किट हुआ है,Electricity,Hindi,Medium
Shivaji Colony की सड़कें गंदी हैं,Sanitation,Hindi,Medium
Electric wires are hanging dangerously in City Center,Electricity,English,High
Potholes on road near Industrial Area,Roads,English,Medium
Water supply is not available in Old City,Water,English,Medium
Shivaji Colony में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Low
Public toilet is dirty in Nehru Nagar,Public Services,English,Medium
Subhash Chowk में मच्छरों की समस्या बढ़ रही है,Sanitation,Hindi,Low
Station Road में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
Shivaji Colony में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Low
Village Area में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Medium
Power cut since morning in Sector 5,Electricity,English,Low
Nehru Nagar में खराब सड़क के कारण ट्रैफिक समस्या है,Roads,Hindi,Low
Water shortage reported in Civil Lines,Water,English,Low
Station Road की सड़कें गंदी हैं,Sanitation,Hindi,Medium
Electric pole damaged in Old City,Electricity,English,Medium
Broken water pipe in Village Area,Water,English,Low
Village Area में लो वोल्टेज की समस्या है,Electricity,Hindi,Low
Village Area में सड़क निर्माण अधूरा है,Roads,Hindi,Medium
City Center में कचरा फैलाया जा रहा है,Sanitation,Hindi,Low
Station Road में सड़क असमान है,Roads,Hindi,Low
Potholes on road near Subhash Chowk,Roads,English,Low
Village Area में शॉर्ट सर्किट हुआ है,Electricity,Hindi,Low
City Center में सड़क खराब है,Roads,Hindi,Low
Public toilet is dirty in Green Park,Public Services,English,Low
Green Park में सार्वजनिक परिवहन खराब है,Public Services,Hindi,Medium
Waterlogging on roads in Green Park,Roads,English,Medium
Bridge damaged near Nehru Nagar,Roads,English,Low
Low voltage issue in Old City,Electricity,English,Medium
Old City में सरकारी कार्यालय जवाब नहीं दे रहा,Public Services,Hindi,Medium
City Center में कई घंटों से बिजली नहीं है,Electricity,Hindi,Low
Short circuit reported in Old City,Electricity,English,Low
Green Park में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Medium
Waterlogging on roads in Civil Lines,Roads,English,Medium
Subhash Chowk में पानी की सप्लाई नहीं है,Water,Hindi,Medium
Civil Lines में कई घंटों से बिजली नहीं है,Electricity,Hindi,Low
Nehru Nagar में नाली जाम है,Sanitation,Hindi,Medium
Water tank is overflowing in Station Road,Water,English,High
Drain blockage reported in Village Area,Sanitation,English,Low
Rajendra Nagar के पास पाइपलाइन फट गई,Water,Hindi,High
Street lights are not working in Shivaji Colony,Electricity,English,Medium
Waterlogging on roads in Industrial Area,Roads,English,Low
Uneven road surface in Ward 12,Roads,English,Medium
City Center में पानी का प्रेशर कम है,Water,Hindi,Low
MG Road में सड़क निर्माण अधूरा है,Roads,Hindi,Low
Garbage has not been collected in Ward 12,Sanitation,English,Low
Waste dumping issue in Station Road,Sanitation,English,Medium
Rajendra Nagar में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Medium
Green Park में शॉर्ट सर्किट हुआ है,Electricity,Hindi,Medium
Green Park में बिजली नहीं है,Electricity,Hindi,Medium
Bridge damaged near Subhash Chowk,Roads,English,Medium
Rajendra Nagar में स्ट्रीट लाइट काम नहीं कर रही,Public Services,Hindi,Low
City Center में नाली जाम है,Sanitation,Hindi,Low
Sewage overflow in Industrial Area,Sanitation,English,High
Nehru Nagar में कचरा फैलाया जा रहा है,Sanitation,Hindi,Medium
Drain blockage reported in Subhash Chowk,Sanitation,English,Low
Shivaji Colony के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Open drains causing problems in Old City,Sanitation,English,Medium
Nehru Nagar में पानी का प्रेशर कम है,Water,Hindi,Medium
Overflowing garbage bins in Sector 5,Sanitation,English,High
Old City में सड़क खराब है,Roads,Hindi,Low
Public toilet is dirty in Shivaji Colony,Public Services,English,Medium
Subhash Chowk में सड़क खराब है,Roads,Hindi,Low
City Center में नाली जाम है,Sanitation,Hindi,Medium
Bridge damaged near Shivaji Colony,Roads,English,Medium
Bridge damaged near Green Park,Roads,English,Low
Street lights not functioning in Subhash Chowk,Public Services,English,Medium
Sector 5 में सार्वजनिक परिवहन खराब है,Public Services,Hindi,Medium
Uneven road surface in Main Market,Roads,English,Medium
Industrial Area में सड़क पर पानी भर गया है,Roads,Hindi,Low
Shivaji Colony में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Low
MG Road में कई घंटों से बिजली नहीं है,Electricity,Hindi,Low
City Center में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Medium
Overflowing garbage bins in MG Road,Sanitation,English,High
Electric wires are hanging dangerously in Industrial Area,Electricity,English,High
No drinking water in Green Park,Water,English,Low
Power outage for several hours in Nehru Nagar,Electricity,English,Low
Government office not responding in City Center,Public Services,English,Low
Frequent voltage fluctuations in Old City,Electricity,English,Medium
Green Park में नाली जाम है,Sanitation,Hindi,Medium
Electric pole damaged in Industrial Area,Electricity,English,Low
School facility complaint in Subhash Chowk,Public Services,English,Medium
Electric wires are hanging dangerously in Civil Lines,Electricity,English,High
Ward 12 के पास पाइपलाइन फट गई,Water,Hindi,High
City Center में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
MG Road में वोल्टेज की समस्या है,Electricity,Hindi,Medium
Green Park में सुबह से बिजली गई हुई है,Electricity,Hindi,Low
Waterlogging on roads in Civil Lines,Roads,English,Low
Subhash Chowk में सड़क में दरारें हैं,Roads,Hindi,Medium
Open drains causing problems in Rajendra Nagar,Sanitation,English,Low
Waterlogging on roads in Subhash Chowk,Roads,English,Low
Main Market में सड़क खराब है,Roads,Hindi,Medium
City Center में बिजली नहीं है,Electricity,Hindi,Medium
Main Market में सार्वजनिक शौचालय गंदा है,Public Services,Hindi,Low
Water leakage from pipeline in Station Road,Water,English,Medium
Subhash Chowk के पास सड़क में गड्ढे हैं,Roads,Hindi,Low
Old City में पीने का पानी नहीं है,Water,Hindi,Medium
Subhash Chowk में सुबह से बिजली गई हुई है,Electricity,Hindi,Low
MG Road में सड़क निर्माण अधूरा है,Roads,Hindi,Low
Industrial Area में लो वोल्टेज की समस्या है,Electricity,Hindi,Medium
Nehru Nagar में लो वोल्टेज की समस्या है,Electricity,Hindi,Low
Open drains causing problems in Rajendra Nagar,Sanitation,English,Medium
Sector 5 में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Low
Ward 12 में सड़क निर्माण अधूरा है,Roads,Hindi,Low
Water supply is not available in Main Market,Water,English,Medium
Poor public transport in Ward 12,Public Services,English,Medium
Bridge damaged near Main Market,Roads,English,Medium
Water contamination issue in Old City,Water,English,Medium
Road construction incomplete in Green Park,Roads,English,Medium
Garbage has not been collected in Old City,Sanitation,English,Medium
Mosquito problem due to dirty drains in Ward 12,Sanitation,English,Medium
Nehru Nagar में सार्वजनिक परिवहन खराब है,Public Services,Hindi,Low
City Center में पानी की सप्लाई नहीं है,Water,Hindi,Low
Sewage overflow in Rajendra Nagar,Sanitation,English,High
Ward 12 में बिजली नहीं है,Electricity,Hindi,Medium
Sewage overflow in Station Road,Sanitation,English,High
Old City में सड़क खराब है,Roads,Hindi,Low
Sewage overflow in Subhash Chowk,Sanitation,English,High
Road is damaged in MG Road,Roads,English,Medium
Garbage has not been collected in Rajendra Nagar,Sanitation,English,Medium
Shivaji Colony में सड़क में दरारें हैं,Roads,Hindi,Low
Frequent voltage fluctuations in Station Road,Electricity,English,Low
Public park maintenance issue in Subhash Chowk,Public Services,English,Low
Sector 5 में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Medium
Government office not responding in Sector 5,Public Services,English,Low
MG Road के पास पाइपलाइन फट गई,Water,Hindi,High
Unclean streets in MG Road,Sanitation,English,Medium
Old City में सड़क खराब है,Roads,Hindi,Low
Main Market में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Low
Industrial Area में सड़क खराब है,Roads,Hindi,Low
Main Market में पीने का पानी नहीं है,Water,Hindi,Low
Green Park में सड़क खराब है,Roads,Hindi,Low
Electric pole damaged in Shivaji Colony,Electricity,English,Medium
Low voltage issue in Industrial Area,Electricity,English,Low
Road construction incomplete in Ward 12,Roads,English,Medium
Nehru Nagar में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Medium
Poor public transport in Village Area,Public Services,English,Medium
Rajendra Nagar में पार्क रखरखाव की समस्या है,Public Services,Hindi,Low
Sector 5 में स्कूल सुविधा की शिकायत है,Public Services,Hindi,Low
Industrial Area में स्कूल सुविधा की शिकायत है,Public Services,Hindi,Medium
Mosquito problem due to dirty drains in Station Road,Sanitation,English,Medium
Waste dumping issue in Industrial Area,Sanitation,English,Low
Subhash Chowk में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Low
School facility complaint in Rajendra Nagar,Public Services,English,Low
Poor public transport in Shivaji Colony,Public Services,English,Low
Ward 12 में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Medium
Short circuit reported in Shivaji Colony,Electricity,English,Medium
Village Area में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Bad smell from drainage in Main Market,Sanitation,English,Medium
Broken road causing accidents in Civil Lines,Roads,English,High
Hospital service issue in Subhash Chowk,Public Services,English,Low
Old City के पास पुल क्षतिग्रस्त है,Roads,Hindi,Medium
No drinking water in Station Road,Water,English,Medium
City Center में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Industrial Area में बिजली नहीं है,Electricity,Hindi,Medium
Rajendra Nagar में लो वोल्टेज की समस्या है,Electricity,Hindi,Low
Subhash Chowk के पास पाइपलाइन फट गई,Water,Hindi,High
Open drains causing problems in Rajendra Nagar,Sanitation,English,Medium
Hospital service issue in Nehru Nagar,Public Services,English,Medium
Subhash Chowk में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Low
Public toilet is dirty in Industrial Area,Public Services,English,Low
Village Area में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Medium
Industrial Area में कचरा नहीं उठाया गया,Sanitation,Hindi,Medium
Old City में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Medium
Village Area में अस्पताल सेवा की समस्या है,Public Services,Hindi,Medium
Water supply is not available in Civil Lines,Water,English,Medium
Rajendra Nagar में बिजली के तार खतरनाक स्थिति में हैं,Electricity,Hindi,High
Drain blockage reported in Shivaji Colony,Sanitation,English,Low
Overflowing garbage bins in Shivaji Colony,Sanitation,English,High
Sector 5 में पार्क रखरखाव की समस्या है,Public Services,Hindi,Medium
Pipeline burst near Sector 5,Water,English,High
Nehru Nagar में कई घंटों से बिजली नहीं है,Electricity,Hindi,Medium
Hospital service issue in Sector 5,Public Services,English,Medium
Ward 12 में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Main Market की सड़कें गंदी हैं,Sanitation,Hindi,Medium
Water contamination issue in Ward 12,Water,English,Medium
Waterlogging on roads in Industrial Area,Roads,English,Medium
Road cracks reported in Subhash Chowk,Roads,English,Low
Ward 12 में सड़क असमान है,Roads,Hindi,Medium
Shivaji Colony में पानी का प्रेशर कम है,Water,Hindi,Medium
Hospital service issue in Green Park,Public Services,English,Low
Industrial Area में नाली जाम है,Sanitation,Hindi,Medium
Public park maintenance issue in Old City,Public Services,English,Medium
Ward 12 में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Civil Lines में लो वोल्टेज की समस्या है,Electricity,Hindi,Low
Industrial Area में नाली जाम है,Sanitation,Hindi,Medium
City Center में पानी की सप्लाई नहीं है,Water,Hindi,Low
Main Market में पार्क रखरखाव की समस्या है,Public Services,Hindi,Medium
Frequent voltage fluctuations in Nehru Nagar,Electricity,English,Low
Public toilet is dirty in Subhash Chowk,Public Services,English,Low
Government office not responding in Industrial Area,Public Services,English,Low
Main Market में गंदा पानी आ रहा है,Water,Hindi,Low
Broken water pipe in Industrial Area,Water,English,Low
Green Park में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Low
Old City में वोल्टेज की समस्या है,Electricity,Hindi,Low
Old City के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Bridge damaged near City Center,Roads,English,Medium
Shivaji Colony में मच्छरों की समस्या बढ़ रही है,Sanitation,Hindi,Low
Bad smell from drainage in Industrial Area,Sanitation,English,Low
Public park maintenance issue in Green Park,Public Services,English,Medium
Civil Lines के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
City Center में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Low
Road repair needed in Sector 5,Roads,English,Low
Road cracks reported in City Center,Roads,English,Medium
Road construction incomplete in City Center,Roads,English,Medium
Ward 12 में पानी की कमी है,Water,Hindi,Medium
Public toilet is dirty in Old City,Public Services,English,Medium
Pipeline burst near Station Road,Water,English,High
Old City में कई घंटों से बिजली नहीं है,Electricity,Hindi,Low
Civil Lines में कई घंटों से बिजली नहीं है,Electricity,Hindi,Low
Sewage overflow in Main Market,Sanitation,English,High
Uneven road surface in Green Park,Roads,English,Medium
Sewage overflow in Civil Lines,Sanitation,English,High
School facility complaint in Village Area,Public Services,English,Low
Low voltage issue in Sector 5,Electricity,English,Medium
Main Market में पार्क रखरखाव की समस्या है,Public Services,Hindi,Medium
Rajendra Nagar में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Shivaji Colony में सड़क पर पानी भर गया है,Roads,Hindi,Medium
City Center में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Medium
Bad smell from drainage in Main Market,Sanitation,English,Low
Water shortage reported in Nehru Nagar,Water,English,Low
Ward 12 में बिजली नहीं है,Electricity,Hindi,Low
Road cracks reported in Subhash Chowk,Roads,English,Medium
City Center में सड़क पर पानी भर गया है,Roads,Hindi,Low
MG Road में सड़क असमान है,Roads,Hindi,Low
Green Park में वोल्टेज की समस्या है,Electricity,Hindi,Medium
Overflowing garbage bins in Ward 12,Sanitation,English,High
Shivaji Colony में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Street lights not functioning in Village Area,Public Services,English,Medium
Subhash Chowk में पानी की पाइप टूट गई है,Water,Hindi,Medium
Short circuit reported in City Center,Electricity,English,Medium
Industrial Area में खुली नालियों से समस्या हो रही है,Sanitation,Hindi,Low
Civil Lines में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
Electric wires are hanging dangerously in Civil Lines,Electricity,English,High
Civil Lines के पास पाइपलाइन फट गई,Water,Hindi,High
MG Road के पास पाइपलाइन फट गई,Water,Hindi,High
Public safety concern in MG Road,Public Services,English,Medium
Civil Lines में सड़क निर्माण अधूरा है,Roads,Hindi,Low
Green Park में स्ट्रीट लाइट काम नहीं कर रही,Public Services,Hindi,Medium
Station Road में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Citizen service center closed in Main Market,Public Services,English,Low
Industrial Area में नाली से बदबू आ रही है,Sanitation,Hindi,Low
Water contamination issue in Village Area,Water,English,Medium
Industrial Area में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
City Center में बिजली के तार खतरनाक स्थिति में हैं,Electricity,Hindi,High
MG Road में कचरा नहीं उठाया गया,Sanitation,Hindi,Low
Old City में पीने का पानी नहीं है,Water,Hindi,Medium
Rajendra Nagar में पार्क रखरखाव की समस्या है,Public Services,Hindi,Low
Transformer exploded near City Center,Electricity,English,High
Village Area में सार्वजनिक परिवहन खराब है,Public Services,Hindi,Low
Uneven road surface in Civil Lines,Roads,English,Medium
Citizen service center closed in Green Park,Public Services,English,Low
Electric pole damaged in Subhash Chowk,Electricity,English,Low
MG Road में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Low
Subhash Chowk में सड़क पर पानी भर गया है,Roads,Hindi,Medium
No drinking water in Rajendra Nagar,Water,English,Low
There is no electricity in Rajendra Nagar,Electricity,English,Low
Industrial Area की सड़कें गंदी हैं,Sanitation,Hindi,Medium
Public toilet is dirty in Green Park,Public Services,English,Low
There is no electricity in Ward 12,Electricity,English,Low
School facility complaint in Main Market,Public Services,English,Low
Shivaji Colony में खुली नालियों से समस्या हो रही है,Sanitation,Hindi,Medium
Bad smell from drainage in Green Park,Sanitation,English,Medium
Delay in government service at Village Area,Public Services,English,Low
Old City में अस्पताल सेवा की समस्या है,Public Services,Hindi,Medium
Garbage has not been collected in Shivaji Colony,Sanitation,English,Medium
Ward 12 में सार्वजनिक परिवहन खराब है,Public Services,Hindi,Low
No drinking water in Sector 5,Water,English,Medium
Subhash Chowk में सुबह से बिजली गई हुई है,Electricity,Hindi,Medium
Rajendra Nagar में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Medium
Subhash Chowk में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Waste dumping issue in Rajendra Nagar,Sanitation,English,Low
MG Road में अस्पताल सेवा की समस्या है,Public Services,Hindi,Medium
Industrial Area में नाली जाम है,Sanitation,Hindi,Low
Electric wires are hanging dangerously in City Center,Electricity,English,High
Nehru Nagar में पार्क रखरखाव की समस्या है,Public Services,Hindi,Medium
Street lights not functioning in Sector 5,Public Services,English,Low
Nehru Nagar में बिजली नहीं है,Electricity,Hindi,Medium
Old City में सड़क खराब है,Roads,Hindi,Low
Waste dumping issue in Green Park,Sanitation,English,Low
Civil Lines में पानी दूषित है,Water,Hindi,Medium
Ward 12 में सुबह से बिजली गई हुई है,Electricity,Hindi,Low
Transformer exploded near Subhash Chowk,Electricity,English,High
Sector 5 की सड़कें गंदी हैं,Sanitation,Hindi,Medium
MG Road में सड़क खराब है,Roads,Hindi,Medium
Open drains causing problems in MG Road,Sanitation,English,Medium
Shivaji Colony में सड़क खराब है,Roads,Hindi,Medium
Sewage overflow in Green Park,Sanitation,English,High
Drain blockage reported in Industrial Area,Sanitation,English,Low
Water leakage from pipeline in Civil Lines,Water,English,Low
Unclean streets in Old City,Sanitation,English,Medium
Pipeline burst near Civil Lines,Water,English,High
Short circuit reported in Subhash Chowk,Electricity,English,Low
Power outage for several hours in Old City,Electricity,English,Low
Transformer exploded near Subhash Chowk,Electricity,English,High
Road is damaged in Sector 5,Roads,English,Low
School facility complaint in Rajendra Nagar,Public Services,English,Low
Drain blockage reported in Shivaji Colony,Sanitation,English,Low
Ward 12 में पानी की कमी है,Water,Hindi,Medium
Shivaji Colony में सड़क असमान है,Roads,Hindi,Medium
Rajendra Nagar में पानी की पाइप टूट गई है,Water,Hindi,Low
City Center में सार्वजनिक शौचालय गंदा है,Public Services,Hindi,Low
Open drains causing problems in Industrial Area,Sanitation,English,Medium
Shivaji Colony के पास पाइपलाइन फट गई,Water,Hindi,High
Sector 5 में गंदा पानी आ रहा है,Water,Hindi,Medium
Ward 12 की सड़कें गंदी हैं,Sanitation,Hindi,Low
Public toilet is dirty in Ward 12,Public Services,English,Medium
Old City में सार्वजनिक परिवहन खराब है,Public Services,Hindi,Low
Mosquito problem due to dirty drains in Sector 5,Sanitation,English,Low
Electric wires are hanging dangerously in Station Road,Electricity,English,High
Electric wires are hanging dangerously in Old City,Electricity,English,High
Bad smell from drainage in Shivaji Colony,Sanitation,English,Medium
Road is damaged in Subhash Chowk,Roads,English,Low
Main Market में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Medium
Hospital service issue in Ward 12,Public Services,English,Medium
Potholes on road near City Center,Roads,English,Medium
Waste dumping issue in Green Park,Sanitation,English,Medium
Subhash Chowk के पास पुल क्षतिग्रस्त है,Roads,Hindi,Low
City Center में खुली नालियों से समस्या हो रही है,Sanitation,Hindi,Low
Water shortage reported in Shivaji Colony,Water,English,Low
Pipeline burst near Shivaji Colony,Water,English,High
School facility complaint in Subhash Chowk,Public Services,English,Low
Bridge damaged near Main Market,Roads,English,Medium
Low water pressure in City Center,Water,English,Low
Rajendra Nagar में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Low
Sector 5 में पानी की कमी है,Water,Hindi,Low
MG Road में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Low
Rajendra Nagar में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Medium
Ward 12 में अस्पताल सेवा की समस्या है,Public Services,Hindi,Low
Transformer exploded near Rajendra Nagar,Electricity,English,High
Water contamination issue in Subhash Chowk,Water,English,Medium
Shivaji Colony में पानी का प्रेशर कम है,Water,Hindi,Medium
Main Market में कई घंटों से बिजली नहीं है,Electricity,Hindi,Medium
Public park maintenance issue in Main Market,Public Services,English,Low
Water leakage from pipeline in Subhash Chowk,Water,English,Medium
Potholes on road near MG Road,Roads,English,Low
Old City में नाली जाम है,Sanitation,Hindi,Low
Rajendra Nagar में नाली से बदबू आ रही है,Sanitation,Hindi,Medium
Mosquito problem due to dirty drains in Sector 5,Sanitation,English,Medium
MG Road में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Low
Water tank is overflowing in Sector 5,Water,English,High
Nehru Nagar में बिजली नहीं है,Electricity,Hindi,Low
Open drains causing problems in Shivaji Colony,Sanitation,English,Low
Main Market में सरकारी कार्यालय जवाब नहीं दे रहा,Public Services,Hindi,Low
Water leakage from pipeline in Ward 12,Water,English,Medium
Mosquito problem due to dirty drains in Civil Lines,Sanitation,English,Medium
Shivaji Colony में नाली से बदबू आ रही है,Sanitation,Hindi,Medium
Short circuit reported in Station Road,Electricity,English,Low
City Center में बिजली नहीं है,Electricity,Hindi,Medium
Ward 12 में गंदा पानी आ रहा है,Water,Hindi,Medium
Power cut since morning in Green Park,Electricity,English,Low
Short circuit reported in Industrial Area,Electricity,English,Low
Shivaji Colony में सड़क निर्माण अधूरा है,Roads,Hindi,Medium
Old City में पार्क रखरखाव की समस्या है,Public Services,Hindi,Medium
There is no electricity in City Center,Electricity,English,Medium
Road repair needed in Rajendra Nagar,Roads,English,Medium
Public safety concern in Station Road,Public Services,English,Low
MG Road में बिजली के तार खतरनाक स्थिति में हैं,Electricity,Hindi,High
Shivaji Colony में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Low
Sewage overflow in Sector 5,Sanitation,English,High
